name	Snippet	styleUrl	longitude	latitude	altitude	Type	Region
Stranda	Record 2005	#defaultStyleMap	6.9	62.3	0	Metamorphic	Norway
Jeziorko	Record 2006	#defaultStyleMap	21.8166666666667	50.5666666666667	0	Hydrothermal	Poland
Kletno III	Record 2007	#defaultStyleMap	16.8833333333333	53.3	0	Sedimentary	Poland
Klodawa	Record 2008	#defaultStyleMap	18.9166666666667	52.25	0	Sedimentary	Poland
Salamonde	Record 2009	#defaultStyleMap	-8.15	41.6333333333333	0	Igneous	Portugal
Bazhenovo	Record 2011	#defaultStyleMap	61.5	57.0333333333333	0	Metamorphic	Russia
Dalnegorsk	Record 2012	#defaultStyleMap	135.581666666667	44.4780555555556	0	Hydrothermal	Russia
Elton (Lake)	Record 2013	#defaultStyleMap	46.5833333333333	49.2666666666667	0	Sedimentary	Russia
Gremyakha-Vyrmes	Record 2014	#defaultStyleMap	32.4666666666667	68.6333333333333	0	Igneous	Russia
Kuchuk, Lake	Record 2016	#defaultStyleMap	79.7666666666667	52.7	0	Sedimentary	Russia
Lazinskoe	Record 2017	#defaultStyleMap	39.4	53.8666666666667	0	Sedimentary	Russia
Lupikko	Record 2018	#defaultStyleMap	31.55	61.55	0	Igneous	Russia
Nepskaja Group (Gazhenka, Datkon)	Record 2020	#defaultStyleMap	107.914444444444	59.2111111111111	0	Sedimentary	Russia
Novomoskovskoe	Record 2021	#defaultStyleMap	38.2166666666667	54.0833333333333	0	Sedimentary	Russia
Savinskoe	Record 2023	#defaultStyleMap	102.133333333333	52.5833333333333	0	Hydrothermal	Russia
Seligdarskoe	Record 2024	#defaultStyleMap	125.3	58.4	0	Igneous	Russia
Seregovskoe	Record 2025	#defaultStyleMap	50.6069444444444	62.3416666666667	0	Sedimentary	Russia
Shabrovskoe	Record 2026	#defaultStyleMap	60.7772222222222	56.5094444444444	0	Igneous	Russia
Shedokskoe	Record 2027	#defaultStyleMap	40.85	44.2166666666667	0	Sedimentary	Russia
Telek (Telekskoye, Bol'Shoy Telek)	Record 2029	#defaultStyleMap	92.05	54.2833333333333	0	Sedimentary	Russia
Tyretskoe (Usol'sko-Bulajskoe)	Record 2030	#defaultStyleMap	102.379722222222	53.6369444444444	0	Sedimentary	Russia
Verkhnekamsk	Record 2033	#defaultStyleMap	56.7544444444444	59.6122222222222	0	Sedimentary	Russia
Viatka Kama (Rudnichny)	Record 2035	#defaultStyleMap	52.4666666666667	59.6166666666667	0	Sedimentary	Russia
Voznesenka-2	Record 2036	#defaultStyleMap	132.134722222222	44.1836111111111	0	Igneous	Russia
Ddbrava-Miková	Record 2038	#defaultStyleMap	20.2333333333333	48.65	0	Hydrothermal	Slovakia
Kosice	Record 2039	#defaultStyleMap	21.25	48.7166666666667	0	Sedimentary	Slovakia
Lehotka pod Brehy	Record 2040	#defaultStyleMap	18.8	48.55	0	Igneous	Slovakia
Lubenik	Record 2041	#defaultStyleMap	20.2	48.6666666666667	0	Hydrothermal	Slovakia
Male Krstenany	Record 2042	#defaultStyleMap	18.4333333333333	48.6333333333333	0	Sedimentary	Slovakia?
Mociar	Record 2043	#defaultStyleMap	19.25	48.35	0	Sedimentary	Slovakia
Aldea Moret	Record 2044	#defaultStyleMap	-6.41666666666667	39.4166666666667	0	Igneous	Spain
Cerezo de Rio Tiron	Record 2045	#defaultStyleMap	-3.13333333333333	42.4833333333333	0	Sedimentary	Spain
El Castellar	Record 2046	#defaultStyleMap	-4.01666666666667	39.8666666666667	0	Sedimentary	Spain
Huelva	Record 2047	#defaultStyleMap	-6.95	37.2666666666667	0	Sedimentary	Spain
Pinoso	Record 2048	#defaultStyleMap	-1.03333333333333	38.4	0	Sedimentary	Spain
Torrelavega	Record 2050	#defaultStyleMap	-4.05	43.35	0	Sedimentary	Spain
Vicalvaro-Vallecas	Record 2051	#defaultStyleMap	-3.6	40.4	0	Sedimentary	Spain
Backegruvan	Record 2052	#defaultStyleMap	15.5666666666667	58.8333333333333	0	Igneous	Sweden
Gotland	Record 2053	#defaultStyleMap	18.8	57.8333333333333	0	Sedimentary	Sweden
Khodzhamunyn, Khodzhasartys	Record 2054	#defaultStyleMap	69.56	37.7325	0	Sedimentary	Tajikistan
Nurek	Record 2055	#defaultStyleMap	69.3197222222222	38.3902777777778	0	Sedimentary	Tajikistan
Tanapchi	Record 2056	#defaultStyleMap	69.5033333333333	37.9155555555556	0	Sedimentary	Tajikistan
Tutbulak	Record 2057	#defaultStyleMap	69.0525	38.2672222222222	0	Sedimentary	Tajikistan
Chashranta	Record 2058	#defaultStyleMap	66.1966666666667	37.5855555555556	0	Sedimentary	Turkmenistan
Divichi-Burunskoe	Record 2059	#defaultStyleMap	53.4333333333333	39.5372222222222	0	Sedimentary	Turkmenistan
Karashor	Record 2061	#defaultStyleMap	56.8775	40.5191666666667	0	Sedimentary	Turkmenistan
Sultan-Sandzharskoe	Record 2062	#defaultStyleMap	61.5652777777778	41.1016666666667	0	Sedimentary	Turkmenistan
Zaliv Kara-Bogaz-Gol	Record 2063	#defaultStyleMap	53.3725	42.0838888888889	0	Sedimentary	Turkmenistan
Artemovskoe	Record 2064	#defaultStyleMap	38.6333333333333	47.7	0	Sedimentary	Ukraine
Chernigovskii (Novopoltavskii)	Record 2065	#defaultStyleMap	36.25	47.2333333333333	0	Igneous	Ukraine
Iron Sides	Record 3077	#defaultStyleMap	30.0075	-19.6731	0	Igneous	Zimbabwe
Komsomolskoe	Record 2066	#defaultStyleMap	38.0833333333333	47.6666666666667	0	Sedimentary	Ukraine
Sivash	Record 2070	#defaultStyleMap	33.8333333333333	45.95	0	Sedimentary	Ukraine
Slavyanskoe	Record 2071	#defaultStyleMap	33.8333333333333	48.9166666666667	0	Sedimentary	Ukraine
Vilnohirsk (Mayshev, Dnieproperovsk)	Record 2073	#defaultStyleMap	34.0208333333333	48.4833333333333	0	Surficial	Ukraine
Dene Quarry	Record 2077	#defaultStyleMap	-1.55	53.1	0	Sedimentary	United Kingdom
Norwich	Record 2079	#defaultStyleMap	1.3	52.6333333333333	0	Sedimentary	United Kingdom
Peninine	Record 2080	#defaultStyleMap	-1.53333333333333	53.1333333333333	0	Igneous	United Kingdom
Dzheroj-Syrdara (Sardara)	Record 2083	#defaultStyleMap	64.5119444444444	41.3613888888889	0	Sedimentary	Uzbekistan
Dzheroj-Tashkura	Record 2084	#defaultStyleMap	64.1772222222222	41.0511111111111	0	Sedimentary	Uzbekistan
Affensou	Record 2085	#defaultStyleMap	4.2333	36.6667	0	Hydrothermal	Algeria
Ain Mimoun	Record 2086	#defaultStyleMap	7.1167	35.85	0	Hydrothermal	Algeria
Bou Caid	Record 2087	#defaultStyleMap	1.6667	35.6	0	Hydrothermal	Algeria
Gouraya	Record 2088	#defaultStyleMap	1.91667	36.56667	0	Hydrothermal	Algeria
Keddara	Record 2089	#defaultStyleMap	3.475	36.6167	0	Hydrothermal	Algeria
Mekla	Record 2090	#defaultStyleMap	4.35	36.65	0	Hydrothermal	Algeria
Sidi Kamber	Record 2091	#defaultStyleMap	6.5833	36.7167	0	Hydrothermal	Algeria
Medea	Record 2102	#defaultStyleMap	2.75	36.25	0	Sedimentary	Algeria
Sebket Oran (Sebkra d-Oran)	Record 2103	#defaultStyleMap	-0.8333	35.5833	0	Sedimentary	Algeria
Batna	Record 2129	#defaultStyleMap	6.7667	36.9333	0	Sedimentary	Algeria
Blida	Record 2130	#defaultStyleMap	2.8	36.4667	0	Sedimentary	Algeria
Bouira	Record 2131	#defaultStyleMap	3.9167	36.3667	0	Sedimentary	Algeria
Constantine	Record 2132	#defaultStyleMap	6.65	36.8333	0	Sedimentary	Algeria
El Asnam	Record 2134	#defaultStyleMap	1.9833	36.5	0	Sedimentary	Algeria
Oran	Record 2135	#defaultStyleMap	-0.6	35.6667	0	Sedimentary	Algeria
Bendjerah	Record 2136	#defaultStyleMap	7.6667	36.3333	0	Sedimentary	Algeria
Bou Hanifia	Record 2137	#defaultStyleMap	0.1667	35.2167	0	Sedimentary	Algeria
Filfila	Record 2138	#defaultStyleMap	7.1167	36.8833	0	Sedimentary	Algeria
Djebel Kouif (Le Kouif)	Record 2142	#defaultStyleMap	8.31667	35.48333	0	Sedimentary	Algeria
Djebel Onk	Record 2143	#defaultStyleMap	7.88333	34.71667	0	Sedimentary	Algeria
M'zaita	Record 2144	#defaultStyleMap	4.95	35.93333	0	Sedimentary	Algeria
Arzew	Record 2145	#defaultStyleMap	-0.3167	35.7	0	Sedimentary	Algeria
El Outaya	Record 2146	#defaultStyleMap	5.6	35.05	0	Sedimentary	Algeria
Gerboun Lamri	Record 2147	#defaultStyleMap	7.5	36.7833	0	Sedimentary	Algeria
Great Sebkha	Record 2148	#defaultStyleMap	-0.75	35.5	0	Sedimentary	Algeria
Sidi Bouziane	Record 2149	#defaultStyleMap	6.8333	35.7833	0	Sedimentary	Algeria
Beni Mansour	Record 2150	#defaultStyleMap	4.7667	36.3667	0	Sedimentary	Algeria
Karezas	Record 2151	#defaultStyleMap	7.65	36.8	0	Igneous	Algeria
Lueca	Record 2176	#defaultStyleMap	14.91667	-6.83333	0	Unclassified	Angola
Kgwakgwe	Record 2187	#defaultStyleMap	25.25	-24.96667	0	Sedimentary	Botswana
Lobatse	Record 2188	#defaultStyleMap	25.55	-25.21667	0	Sedimentary	Botswana
Ramotswa	Record 2189	#defaultStyleMap	25.66667	-24.86667	0	Sedimentary	Botswana
Ranaka Quartz Vein	Record 2193	#defaultStyleMap	25.41667	-24.925	0	Hydrothermal	Botswana
Sua Pan	Record 2194	#defaultStyleMap	26	-20.66667	0	Sedimentary	Botswana
Tambao	Record 2198	#defaultStyleMap	0.06667	14.78333	0	Sedimentary	Burkina Faso
Kodjari	Record 2199	#defaultStyleMap	1.9258	11.85	0	Sedimentary	Burkina Faso
Kouilou (Makola, Youbi)	Record 2210	#defaultStyleMap	12.1333	-4.5667	0	Sedimentary	Congo (Brazzaville)
Lueshe	Record 2211	#defaultStyleMap	29.1167	-0.9833	0	Igneous	Congo (Kinshasa)
Bingo	Record 2212	#defaultStyleMap	29.3167	0.5333	0	Igneous	Congo (Kinshasa)
Kitotolo	Record 2234	#defaultStyleMap	27.3833	-7.325	0	Igneous	Congo (Kinshasa)
Manono	Record 2235	#defaultStyleMap	27.45	-7.2792	0	Igneous	Congo (Kinshasa)
Kisenge (Kamata, Kapolo)	Record 2236	#defaultStyleMap	23.18333	-10.68333	0	Surficial	Congo (Kinshasa)
Miluba	Record 2237	#defaultStyleMap	27.3083	-2.95	0	Unclassified	Congo (Kinshasa)
Minerga	Record 2238	#defaultStyleMap	27.75	-2.2167	0	Unclassified	Congo (Kinshasa)
Punia-Kasese	Record 2239	#defaultStyleMap	27.1167	-1.6333	0	Surficial	Congo (Kinshasa)
Bukena	Record 2240	#defaultStyleMap	27.1833	-7.7167	0	Surficial	Congo (Kinshasa)
Kania	Record 2241	#defaultStyleMap	26.9583	-7.4667	0	Surficial	Congo (Kinshasa)
Kivu (Goma Kivu)	Record 2242	#defaultStyleMap	27.5	-26	0	Surficial	Congo (Kinshasa)
Mitwaba (Kiswa)	Record 2243	#defaultStyleMap	27.4167	-8.375	0	Igneous	Congo (Kinshasa)
Bishasha (Mumba and Kasangura deposits)	Record 2244	#defaultStyleMap	29.2333	-1.6667	0	Igneous	Congo (Kinshasa)
Kalima-Messaraba	Record 2245	#defaultStyleMap	26.6167	-2.5667	0	Igneous	Congo (Kinshasa)
Shinkolobwe (Shinkolobowe, Signal, Kasolo)	Record 2246	#defaultStyleMap	26.91667	-11	0	Hydrothermal	Congo (Kinshasa)
Mokta (Dikodoua (Grand Lahou))	Record 2253	#defaultStyleMap	-5	5.13333	0	Sedimentary	Côte DIvoire
Apliki	Record 2255	#defaultStyleMap	32.85	35.0667	0	Hydrothermal	Cyprus
Kalavasos	Record 2256	#defaultStyleMap	33.25	34.7833	0	Hydrothermal	Cyprus
Mathiati	Record 2257	#defaultStyleMap	33.35	34.9667	0	Hydrothermal	Cyprus
Mavrovouni	Record 2258	#defaultStyleMap	32.8333	35.0167	0	Hydrothermal	Cyprus
Skouriotissa	Record 2259	#defaultStyleMap	32.8833	35.0833	0	Hydrothermal	Cyprus
Hafafit	Record 2262	#defaultStyleMap	34.5003	24.8336	0	Metamorphic	Egypt
Wadi Sifein	Record 2263	#defaultStyleMap	34.7167	25.1	0	Igneous	Egypt
Abu Dabbab	Record 2270	#defaultStyleMap	34.5417	25.3408	0	Igneous	Egypt
Nuweibi	Record 2271	#defaultStyleMap	34.5167	25.1917	0	Igneous	Egypt
Umm Kabu	Record 2277	#defaultStyleMap	34.89444	24.59167	0	Igneous	Egypt
El Ballah	Record 2292	#defaultStyleMap	32.21667	30.73333	0	Sedimentary	Egypt
El Hammam	Record 2293	#defaultStyleMap	29.41667	30.83333	0	Sedimentary	Egypt
El Omayid	Record 2294	#defaultStyleMap	29.16667	30.78333	0	Sedimentary	Egypt
Gerza	Record 2295	#defaultStyleMap	31.06	28.81	0	Sedimentary	Egypt
Gharbanyat	Record 2296	#defaultStyleMap	29.5	30.83333	0	Sedimentary	Egypt
Ras Malaab	Record 2297	#defaultStyleMap	32.95	29.16667	0	Sedimentary	Egypt
Wadi El Rayan	Record 2298	#defaultStyleMap	32.75	29.83333	0	Sedimentary	Egypt
Manzala, Manzallah	Record 2299	#defaultStyleMap	32.0003	31.0003	0	Sedimentary	Egypt
Beni Hassan	Record 2311	#defaultStyleMap	30.95	27.95	0	Sedimentary	Egypt
Wadi Alaki	Record 2312	#defaultStyleMap	33.2	22.15	0	Sedimentary	Egypt
Sagia	Record 2313	#defaultStyleMap	33.7167	26.3336	0	Hydrothermal	Egypt
Wadi Mialik (My'alik, Meialeik)	Record 2314	#defaultStyleMap	35.3	24.16667	0	Hydrothermal	Egypt
Um Bogma	Record 2315	#defaultStyleMap	33.36667	28.98333	0	Sedimentary	Egypt
El Hamrawein	Record 2317	#defaultStyleMap	34.1	26.2	0	Sedimentary	Egypt
El Mahamid	Record 2318	#defaultStyleMap	32	25	0	Sedimentary	Egypt
Qena	Record 2319	#defaultStyleMap	32.8667	26.1667	0	Sedimentary	Egypt
Quseir	Record 2320	#defaultStyleMap	34.3333	26.1667	0	Sedimentary	Egypt
Red Sea Phosphate District	Record 2321	#defaultStyleMap	34.16667	26.16667	0	Sedimentary	Egypt
Rifale	Record 2322	#defaultStyleMap	31.3667	29.9167	0	Sedimentary	Egypt
Sabayia East	Record 2323	#defaultStyleMap	32.6833	25.1667	0	Sedimentary	Egypt
Safaga	Record 2324	#defaultStyleMap	33.9	26.53333	0	Sedimentary	Egypt
Sebaiya	Record 2325	#defaultStyleMap	32.6667	25.1667	0	Sedimentary	Egypt
Abu Tartur	Record 2326	#defaultStyleMap	30.0333	25.4333	0	Sedimentary	Egypt
Idku	Record 2327	#defaultStyleMap	30.25	31.25	0	Sedimentary	Egypt
Wadi Natrun	Record 2328	#defaultStyleMap	30.3	30.35	0	Sedimentary	Egypt
Wadi el Natron	Record 2329	#defaultStyleMap	30.3667	30.4167	0	Sedimentary	Egypt
Abu Ghalaga	Record 2330	#defaultStyleMap	35.06667	24.38333	0	Igneous	Egypt
Damietta	Record 2331	#defaultStyleMap	30.8	30.2167	0	Surficial	Egypt
Nile Delta-Rosetta	Record 2332	#defaultStyleMap	31	31	0	Surficial	Egypt
Rashid	Record 2333	#defaultStyleMap	30.3833	31.4167	0	Surficial	Egypt
Lake Abiyata	Record 2335	#defaultStyleMap	38.5	7.58333	0	Sedimentary	Ethiopia
Lake Shala	Record 2336	#defaultStyleMap	38.5	7.41667	0	Sedimentary	Ethiopia
Kenticha	Record 2349	#defaultStyleMap	40	5.5	0	Igneous	Ethiopia
Mabounie	Record 2350	#defaultStyleMap	10.6667	-0.85	0	Igneous	Gabon
Moanda	Record 2352	#defaultStyleMap	13.28333	-1.56667	0	Surficial	Gabon
Mounana (Oklo, Boyindzi)	Record 2353	#defaultStyleMap	13.5	-2	0	Hydrothermal	Gabon
Kalimbi Hill - Three Hills Area	Record 2369	#defaultStyleMap	-2.5431	8.7986	0	Surficial	Ghana
Nsuta	Record 2370	#defaultStyleMap	-1.95	5.23333	0	Sedimentary	Ghana
Odumase	Record 2371	#defaultStyleMap	-1.2167	6.6208	0	Sedimentary	Ghana
Darreh	Record 2388	#defaultStyleMap	51.30833	33.88333	0	Hydrothermal	Iran
Shahriar	Record 2390	#defaultStyleMap	57.25	27.26667	0	Igneous	Iran
Afzalabad	Record 2401	#defaultStyleMap	61.41667	31.01667	0	Sedimentary	Iran
Nakhjir-Dashte Kavir (Molkabad)	Record 2403	#defaultStyleMap	52.58333	34.53333	0	Sedimentary	Iran
Talhah	Record 2404	#defaultStyleMap	52.65833	34.5	0	Sedimentary	Iran
Akashat	Record 2406	#defaultStyleMap	40.11667	33.8	0	Sedimentary	Iraq
Sawab	Record 2407	#defaultStyleMap	39.5	33.66	0	Sedimentary	Iraq
Badoosh	Record 2408	#defaultStyleMap	43.3333	36.5	0	Sedimentary	Iraq
Mishraq Ash Shurah	Record 2409	#defaultStyleMap	43.3333	36	0	Sedimentary	Iraq
Beersheva	Record 2411	#defaultStyleMap	35.05	31.21667	0	Sedimentary	Israel
Oron	Record 2412	#defaultStyleMap	35.98333	30.86667	0	Sedimentary	Israel
Zefa-Ef'e (Arad)	Record 2413	#defaultStyleMap	35.18333	31.11667	0	Sedimentary	Israel
Zin (Nahal Zinam, Nahil Zin, Nahal Zin)	Record 2414	#defaultStyleMap	35.3167	30.95	0	Sedimentary	Israel
Marovinsky	Record 2471	#defaultStyleMap	48.95	-19.2333	0	Metamorphic	Madagascar
El Abyad (Wadi El Abayad, Al Abayad, El Abaid, Al Abaid)	Record 2417	#defaultStyleMap	36	30.9	0	Sedimentary	Jordan
Esh Shidiya (Es Shidiya, Esh Shidiya, Al Shidiyah, Shediyah)	Record 2418	#defaultStyleMap	36.2	29.8	0	Sedimentary	Jordan
Ruseifa	Record 2419	#defaultStyleMap	36.03333	32	0	Sedimentary	Jordan
Telot West Pokot	Record 2422	#defaultStyleMap	35.3833	1.65	0	Igneous	Kenya
Mrima Hill	Record 2423	#defaultStyleMap	39.26667	-4.5	0	Igneous	Kenya
Kenya Fluorspar	Record 2424	#defaultStyleMap	35.5833	1.1667	0	Hydrothermal	Kenya
Kerio Valley	Record 2425	#defaultStyleMap	35.61667	0.35	0	Hydrothermal	Kenya
Kinyiki	Record 2426	#defaultStyleMap	38.1667	-2.6667	0	Igneous	Kenya
Chawia	Record 2428	#defaultStyleMap	38.38333	-3.46667	0	Metamorphic	Kenya
Oldoinyo-Nyiro	Record 2429	#defaultStyleMap	37	0.75	0	Metamorphic	Kenya
Gilgia	Record 2432	#defaultStyleMap	36.33333	-0.33333	0	Unclassified	Kenya
Magadi	Record 2434	#defaultStyleMap	36.25	-1.8667	0	Sedimentary	Kenya
Lake Magadi	Record 2435	#defaultStyleMap	36.28333	-1.86667	0	Sedimentary	Kenya
Kwale	Record 2436	#defaultStyleMap	39.42	-4.42	0	Surficial	Kenya
Mambrui	Record 2437	#defaultStyleMap	40.15	-3.11667	0	Surficial	Kenya
Sokoke	Record 2438	#defaultStyleMap	39.8667	-3.3167	0	Surficial	Kenya
Yekepa	Record 2447	#defaultStyleMap	-8.4669	7.5839	0	Unclassified	Liberia
Gargaresh	Record 2449	#defaultStyleMap	12.9667	32.8667	0	Metamorphic	Libya
Bi'R Al Ghanam-Yafran	Record 2450	#defaultStyleMap	12.5667	32.2667	0	Sedimentary	Libya
Derna	Record 2452	#defaultStyleMap	22.6667	32.6667	0	Sedimentary	Libya
Homs	Record 2453	#defaultStyleMap	13.3333	32.75	0	Sedimentary	Libya
Bengasi	Record 2454	#defaultStyleMap	20.3333	32.0833	0	Sedimentary	Libya
Ghat	Record 2456	#defaultStyleMap	10.1833	24.9	0	Sedimentary	Libya
Mellaha	Record 2457	#defaultStyleMap	13.3333	32.9	0	Sedimentary	Libya
El Asruj (El Aswad)	Record 2458	#defaultStyleMap	17.25	27.4167	0	Sedimentary	Libya
Sebcha Kebirah	Record 2459	#defaultStyleMap	18.8333	30.2333	0	Sedimentary	Libya
Andriamena	Record 2460	#defaultStyleMap	47.5	-17.41667	0	Igneous	Madagascar
Befandriana	Record 2461	#defaultStyleMap	48.1667	-16.5	0	Igneous	Madagascar
Bemanevika	Record 2462	#defaultStyleMap	47.5333	-17.5667	0	Igneous	Madagascar
Majunga	Record 2463	#defaultStyleMap	47.5	-17.5	0	Igneous	Madagascar
Ranomena	Record 2464	#defaultStyleMap	49.1833	-18.0333	0	Igneous	Madagascar
Ambatomitamba	Record 2465	#defaultStyleMap	48.9833	-18.35	0	Metamorphic	Madagascar
Ampangadiatany	Record 2466	#defaultStyleMap	49.2167	-19.4167	0	Metamorphic	Madagascar
Andasifahatelo Mine	Record 2467	#defaultStyleMap	48.4333	-18.9	0	Metamorphic	Madagascar
Antsirakambo	Record 2468	#defaultStyleMap	49.15	-18.4833	0	Metamorphic	Madagascar
Antsiribe	Record 2469	#defaultStyleMap	49.1333	-18.2667	0	Metamorphic	Madagascar
Faliarano	Record 2470	#defaultStyleMap	48.4167	-18.8833	0	Metamorphic	Madagascar
Perinet-Ambatovy area	Record 2472	#defaultStyleMap	48.45	-18.93333	0	Metamorphic	Madagascar
Sahanavo	Record 2474	#defaultStyleMap	48.9167	-18.45	0	Metamorphic	Madagascar
Tamataue	Record 2475	#defaultStyleMap	49.3833	-18.1667	0	Metamorphic	Madagascar
Tsaravoniany	Record 2476	#defaultStyleMap	48.4333	-18.75	0	Metamorphic	Madagascar
Vatomandry	Record 2477	#defaultStyleMap	49.01667	-19.35	0	Metamorphic	Madagascar
Toalagnaro	Record 2480	#defaultStyleMap	47	-25.0167	0	Surficial	Madagascar
Fort Dauphin	Record 2482	#defaultStyleMap	47	-25	0	Surficial	Madagascar
Pebane	Record 2483	#defaultStyleMap	38.16667	-17.33333	0	Surficial	Madagascar
Tamatave	Record 2484	#defaultStyleMap	49.5	-18	0	Surficial	Madagascar
Taolanaro	Record 2485	#defaultStyleMap	47	-25	0	Surficial	Madagascar
Chilwa Island	Record 2487	#defaultStyleMap	35.5667	-15.3167	0	Igneous	Malawi
Chimwadzulu Hill	Record 2488	#defaultStyleMap	34.65	-15.0333	0	Igneous	Malawi
Changalumi	Record 2489	#defaultStyleMap	35.3	-15.38333	0	Sedimentary	Malawi
Sinsinkourou	Record 2494	#defaultStyleMap	-7.4833	11.4167	0	Igneous	Mali
Ansongo	Record 2495	#defaultStyleMap	0.48333	15.66667	0	Sedimentary	Mali
Timerhdoudine	Record 2503	#defaultStyleMap	5.9833	32.9833	0	Hydrothermal	Morocco
Tourtite	Record 2504	#defaultStyleMap	5.8333	32.4833	0	Hydrothermal	Morocco
Jbel Irhoud (Ighoud)	Record 2505	#defaultStyleMap	-9.3	31.8	0	Hydrothermal	Morocco
Seksaoua	Record 2506	#defaultStyleMap	-9.2	30.8961	0	Hydrothermal	Morocco
Tessaout	Record 2507	#defaultStyleMap	-7.5	31.69	0	Hydrothermal	Morocco
Tizi N'Tichka	Record 2508	#defaultStyleMap	-7.4406	31.5	0	Hydrothermal	Morocco
Zelmou (Jbel Zarouk)	Record 2509	#defaultStyleMap	-2.5517	32.1014	0	Hydrothermal	Morocco
Aghbar (Arhbar)	Record 2510	#defaultStyleMap	-6.91667	30.83333	0	Hydrothermal	Morocco
Bou Azzer	Record 2511	#defaultStyleMap	-6.91667	30.53333	0	Hydrothermal	Morocco
Djebel Tirremi	Record 2517	#defaultStyleMap	-3	34.5	0	Hydrothermal	Morocco
Bou Skour	Record 2513	#defaultStyleMap	-6.85	34.0333	0	Hydrothermal	Morocco
El Hammam Area	Record 2518	#defaultStyleMap	-5.55	33.9	0	Hydrothermal	Morocco
Taourirt	Record 2519	#defaultStyleMap	-2.8639	34.41	0	Hydrothermal	Morocco
Tiouine	Record 2520	#defaultStyleMap	-7.25	30.9167	0	Hydrothermal	Morocco
Aoufour	Record 2535	#defaultStyleMap	-8.03333	30.58333	0	Unclassified	Morocco
Idikel	Record 2536	#defaultStyleMap	-8.66667	29.66667	0	Unclassified	Morocco
Tiaratine	Record 2537	#defaultStyleMap	-4.33333	32.58333	0	Unclassified	Morocco
Imini	Record 2538	#defaultStyleMap	-6.9	30.73333	0	Sedimentary	Morocco
Tasdremt	Record 2539	#defaultStyleMap	-8.03333	30.58333	0	Sedimentary	Morocco
Daoui Nord	Record 2540	#defaultStyleMap	-6.55	32.7667	0	Sedimentary	Morocco
Khouribga (Oulad-Abdoun, Meraa-El-Arech, Sidi-Daoui)	Record 2541	#defaultStyleMap	-6.95	32.9	0	Sedimentary	Morocco
Merra El Arech	Record 2542	#defaultStyleMap	-6.7917	32.6667	0	Sedimentary	Morocco
Meskala (Chichaoua)	Record 2543	#defaultStyleMap	-9.4167	31.5333	0	Sedimentary	Morocco
Youssoufia	Record 2544	#defaultStyleMap	-8.5333	32.25	0	Sedimentary	Morocco
Ben-Guerir	Record 2545	#defaultStyleMap	-7.76667	32.25	0	Sedimentary	Morocco
Sidi Daoui	Record 2546	#defaultStyleMap	-6.63333	32.86667	0	Sedimentary	Morocco
Zgounder	Record 2549	#defaultStyleMap	-7.75	30.8	0	Hydrothermal	Morocco
Kettara	Record 2550	#defaultStyleMap	-8	31.81	0	Hydrothermal	Morocco
Taouz	Record 2551	#defaultStyleMap	-3.98333	30.9	0	Unclassified	Morocco
Mavita	Record 2552	#defaultStyleMap	33	-19.5	0	Metamorphic	Mozambique
Macula	Record 2554	#defaultStyleMap	38.4083	-15.9	0	Igneous	Mozambique
Montepuez	Record 2555	#defaultStyleMap	39	-13.11667	0	Sedimentary	Mozambique
Maridge	Record 2556	#defaultStyleMap	38.2125	-15.7125	0	Igneous	Mozambique
Nanro	Record 2557	#defaultStyleMap	38.2625	-15.775	0	Igneous	Mozambique
Nahora (Nahoza)	Record 2558	#defaultStyleMap	38.3333	-15.5792	0	Igneous	Mozambique
Nahia	Record 2559	#defaultStyleMap	38.4972	-15.7875	0	Igneous	Mozambique
Marupine (Marropino)	Record 2560	#defaultStyleMap	37.9167	-16.5	0	Igneous	Mozambique
Muiane (Alto Ligonha)	Record 2561	#defaultStyleMap	38.2542	-15.7375	0	Igneous	Mozambique
Moebase (Moebane)	Record 2562	#defaultStyleMap	38.48333	-17.01667	0	Surficial	Mozambique
Angoche Congolone	Record 2563	#defaultStyleMap	40	-16	0	Surficial	Mozambique
Corridor Sands (Chibuto)	Record 2564	#defaultStyleMap	33.5667	-24.6667	0	Surficial	Mozambique
Quelemane (Quelimane, Zambezi Estuary, Quelemane-Quinga coastline)	Record 2565	#defaultStyleMap	40.3333	-15.75	0	Surficial	Mozambique
Congolone	Record 2566	#defaultStyleMap	39.83333	-16.33333	0	Surficial	Mozambique
Moma (Namalope, Tupuito)	Record 2567	#defaultStyleMap	39.1667	-16.8333	0	Surficial	Mozambique
Fluswa Kohero	Record 2579	#defaultStyleMap	15.1667	-21.8667	0	Hydrothermal	Namibia
Marburg (Okorusu, Belvedere, Brandenburg)	Record 2580	#defaultStyleMap	16.76667	-20.06667	0	Hydrothermal	Namibia
Usakos	Record 2581	#defaultStyleMap	15.6167	-22	0	Igneous	Namibia
Tantalite Valley	Record 2585	#defaultStyleMap	18.8	-28.71667	0	Igneous	Namibia
Otjosondu (Otjosundu, Otjosondo, Otjisondu)	Record 2586	#defaultStyleMap	18.16667	-21.33333	0	Sedimentary	Namibia
Otjisazu	Record 2587	#defaultStyleMap	17.0833	-21.9167	0	Igneous	Namibia
Otjiwalundu (Otjivalunda)	Record 2589	#defaultStyleMap	15.58333	-18.75	0	Sedimentary	Namibia
Uis	Record 2590	#defaultStyleMap	14.8667	-21.2167	0	Igneous	Namibia
