REGION	DISCTRICT	SETTLEMENT	TYPE	LON	LAT	CORNU	NOTABLE PRODUCTS	Cat1	Cat2	PRODUCT DIVERSITY	PRODUCT	JSON	
Al-Rihab		Bab al-Abwab	towns	48.31477	42.18157	Cornu 18	Stone, fish, cotton cloth, saffron, mules			high	foods	 { "lat": 42.18157, "lon": 48.31477, "name": "Bab al-Abwab", "topType": "high", "product": "foods", "comment": "towns: Stone, fish, cotton cloth, saffron, mules (Cornu 18)", } , 	foods, materials, other, textiles
Al-Rihab		Bardhaa	capitals	47.23624	40.45334	Cornu 18	Brick, plaster, fruits, wood, gypsum, silk, curtains, mules, dyes, figs, sheep, acorns			high	foods	 { "lat": 40.45334, "lon": 47.23624, "name": "Bardhaa", "topType": "high", "product": "foods", "comment": "capitals: Brick, plaster, fruits, wood, gypsum, silk, curtains, mules, dyes, figs, sheep, acorns (Cornu 18)", } , 	foods, materials, other, textiles
Al-Rihab		Baylaqan	towns	47.46081	39.86701	Cornu 18	Sweetmeats			low	foods	 { "lat": 39.86701, "lon": 47.46081, "name": "Baylaqan", "topType": "low", "product": "foods", "comment": "towns: Sweetmeats (Cornu 18)", } , 	foods
Al-Rihab		Dabil	towns	44.68562	40.16468	Cornu 18	Wool cloth, clay, stone, cushions			medium	materials	 { "lat": 40.16468, "lon": 44.68562, "name": "Dabil", "topType": "medium", "product": "materials", "comment": "towns: Wool cloth, clay, stone, cushions (Cornu 18)", } , 	materials, textiles
Al-Rihab		Maragha	towns	46.24758	37.34276	Cornu 18	Clay			low	materials	 { "lat": 37.34276, "lon": 46.24758, "name": "Maragha", "topType": "low", "product": "materials", "comment": "towns: Clay (Cornu 18)", } , 	materials
Al-Rihab		Salamas	towns	44.82832	38.22277	Cornu 18	Stone, adobe			low	materials	 { "lat": 38.22277, "lon": 44.82832, "name": "Salamas", "topType": "low", "product": "materials", "comment": "towns: Stone, adobe (Cornu 18)", } , 	materials
Al-Rihab		Shirwan	towns	48.75339	41.11585	Cornu 18	Stone			low	materials	 { "lat": 41.11585, "lon": 48.75339, "name": "Shirwan", "topType": "low", "product": "materials", "comment": "towns: Stone (Cornu 18)", } , 	materials
Al-Rihab		Tabriz	towns	46.33121	38.06387	Cornu 18	Fruits			low	foods	 { "lat": 38.06387, "lon": 46.33121, "name": "Tabriz", "topType": "low", "product": "foods", "comment": "towns: Fruits (Cornu 18)", } , 	foods
Al-Rihab		Tiflis	towns	44.83734	42.0841	Cornu 18	Stone, wood			low	materials	 { "lat": 42.0841, "lon": 44.83734, "name": "Tiflis", "topType": "low", "product": "materials", "comment": "towns: Stone, wood (Cornu 18)", } , 	materials
Al-Jibal		Al-Rayy	towns	51.52048	35.60216	Cornu 18	Fruits, grains, barley beer, cloth, melons, cows, plums			high	foods	 { "lat": 35.60216, "lon": 51.52048, "name": "Al-Rayy", "topType": "high", "product": "foods", "comment": "towns: Fruits, grains, barley beer, cloth, melons, cows, plums (Cornu 18)", } , 	foods, textiles
Al-Jibal		Al-Rudha	towns	56.02186	30.39947	Cornu 18	Almonds			low	foods	 { "lat": 30.39947, "lon": 56.02186, "name": "Al-Rudha", "topType": "low", "product": "foods", "comment": "towns: Almonds (Cornu 18)", } , 	foods
Al-Jibal		Al-Yahudiyya	capitals	64.83649	35.92522	Cornu 18	Fruits, cloth, cattle, clay			medium	foods	 { "lat": 35.92522, "lon": 64.83649, "name": "Al-Yahudiyya", "topType": "medium", "product": "foods", "comment": "capitals: Fruits, cloth, cattle, clay (Cornu 18)", } , 	foods, materials, textiles
Al-Jibal		Hamadhan	metropoles	48.63117	34.78374	Cornu 18	Bread, confectionary, meats, clay, cloth, saffron, tin, fox skins, sable skins, boots, cheeses			medium	foods	 { "lat": 34.78374, "lon": 48.63117, "name": "Hamadhan", "topType": "medium", "product": "foods", "comment": "metropoles: Bread, confectionary, meats, clay, cloth, saffron, tin, fox skins, sable skins, boots, cheeses (Cornu 18)", } , 	foods, other, textiles
Al-Jibal		Qashan	towns	51.57108	33.96725	Cornu 18	Long-necked bottles, tarragon, plums			medium	foods	 { "lat": 33.96725, "lon": 51.57108, "name": "Qashan", "topType": "medium", "product": "foods", "comment": "towns: Long-necked bottles, tarragon, plums (Cornu 18)", } , 	foods, other
Al-Jibal		Qazwin	towns	50.00135	36.26165	Cornu 18	Grapes, garments, leather sacks, arrows, mint			high	foods	 { "lat": 36.26165, "lon": 50.00135, "name": "Qazwin", "topType": "high", "product": "foods", "comment": "towns: Grapes, garments, leather sacks, arrows, mint (Cornu 18)", } , 	foods, other, textiles
Al-Jibal		Sumayram	towns	51.81266	31.35567	Cornu 18	Walnuts, fruits			low	foods	 { "lat": 31.35567, "lon": 51.81266, "name": "Sumayram", "topType": "low", "product": "foods", "comment": "towns: Walnuts, fruits (Cornu 18)", } , 	foods
Misr	Al-Rif	al-'Abbasiyya (al-'Abbasa)	capitals	31.70607	30.53687	Cornu 10/11	Brick, leather, skins, leggings, cloth, camelshair, goat wool, reed pens, vitriol, marble, vinegar, canvas, linen, shoes, geese, plantains, wax, sugar candy, dyes, apparel, spun yarn, waterskins, harisa (meat dish), nayda (pastry), chick peas, lupine, clover, arum, mats, asses, cattle, girdles, cheese, confection, fish, Colocasia (radish), banana, sycamore fig, lupine fruit, lotus fruit, marzipan, balsam oil			high	foods	 { "lat": 30.53687, "lon": 31.70607, "name": "al-'Abbasiyya (al-'Abbasa)", "topType": "high", "product": "foods", "comment": "capitals: Brick, leather, skins, leggings, cloth, camelshair, goat wool, reed pens, vitriol, marble, vinegar, canvas, linen, shoes, geese, plantains, wax, sugar candy, dyes, apparel, spun yarn, waterskins, harisa (meat dish), nayda (pastry), chick peas, lupine, clover, arum, mats, asses, cattle, girdles, cheese, confection, fish, Colocasia (radish), banana, sycamore fig, lupine fruit, lotus fruit, marzipan, balsam oil (Cornu 10/11)", } , 	foods, materials, other, textiles
	Al-Sa'id	Al-'Allaqi	towns	32.89773	23.02957	Cornu 10/11	Wood, fruits, sheep, livestock, rice, wool, dates, vinegar, raisins, wine			high	foods	 { "lat": 23.02957, "lon": 32.89773, "name": "Al-'Allaqi", "topType": "high", "product": "foods", "comment": "towns: Wood, fruits, sheep, livestock, rice, wool, dates, vinegar, raisins, wine (Cornu 10/11)", } , 	foods, materials, textiles
Misr	Al-Jifar	al-'Arish	towns	33.805	31.13051	Cornu 10/11	Dates, gold			low	foods	 { "lat": 31.13051, "lon": 33.805, "name": "al-'Arish", "topType": "low", "product": "foods", "comment": "towns: Dates, gold (Cornu 10/11)", } , 	foods, other
Misr	Al-Jifar	al-Farama	capitals	32.60098	31.02207	Cornu 10/11	Quail, fish, agricultural foods, dates, baskets, ropes, cloth, wraps, canvas, maps, grains, grass peas, rapeseed oil, jasmine			high	foods	 { "lat": 31.02207, "lon": 32.60098, "name": "al-Farama", "topType": "high", "product": "foods", "comment": "capitals: Quail, fish, agricultural foods, dates, baskets, ropes, cloth, wraps, canvas, maps, grains, grass peas, rapeseed oil, jasmine (Cornu 10/11)", } , 	foods, other, textiles
Misr	Al-Sa'id	al-Fayyum	towns	30.84084	29.35732	Cornu 10/11	Rice, cotton, linen, wool, dates, vinegar, raisins			high	foods	 { "lat": 29.35732, "lon": 30.84084, "name": "al-Fayyum", "topType": "high", "product": "foods", "comment": "towns: Rice, cotton, linen, wool, dates, vinegar, raisins (Cornu 10/11)", } , 	foods, textiles
Misr	Maqaduniya	al-Fustat	metropoles	31.24793	30.04236	Cornu 10/11	Leather, skins, leggings, cloth, camelshair, goat wool, reed pens, vitriol, marble, vinegar, canvas, linen, shoes, geese, plantains, wax, sugar candy, dyes, apparel, spun yarn, waterskins, harisa (meat dish), nayda (pastry), chick peas, lupine, clover, arum, mats, asses, cattle, girdles, cheese, confection, fish, Colocasia (radish), bananas, sycamore fig, lupine fruit, lotus fruit, marzipan, balsam oil, vegetables, firewood, 			high	foods	 { "lat": 30.04236, "lon": 31.24793, "name": "al-Fustat", "topType": "high", "product": "foods", "comment": "metropoles: Leather, skins, leggings, cloth, camelshair, goat wool, reed pens, vitriol, marble, vinegar, canvas, linen, shoes, geese, plantains, wax, sugar candy, dyes, apparel, spun yarn, waterskins, harisa (meat dish), nayda (pastry), chick peas, lupine, clover, arum, mats, asses, cattle, girdles, cheese, confection, fish, Colocasia (radish), bananas, sycamore fig, lupine fruit, lotus fruit, marzipan, balsam oil, vegetables, firewood,  (Cornu 10/11)", } , 	foods, materials, other, textiles
Misr	Al-Iskandariyya	al-Iskandariyya	capitals	29.89004	31.21021	Cornu 10/11	Leather, skins, leggings, cloth, camelshair, goat wool, reed pens, vitriol, marble, vinegar, canvas, linen, shoes, geese, plantains, wax, sugar candy, dyes, apparel, spun yarn, waterskins, harisa (meat dish), nayda (pastry), chick peas, lupine, clover, arum, mats, asses, cattle, girdles, cheese, confection, fish, Colocasia (radish), bananas, sycamore fig, lupine fruit, lotus fruit, marzipan, balsam oil, grapes, marble, stone, locust, olives, almonds			high	foods	 { "lat": 31.21021, "lon": 29.89004, "name": "al-Iskandariyya", "topType": "high", "product": "foods", "comment": "capitals: Leather, skins, leggings, cloth, camelshair, goat wool, reed pens, vitriol, marble, vinegar, canvas, linen, shoes, geese, plantains, wax, sugar candy, dyes, apparel, spun yarn, waterskins, harisa (meat dish), nayda (pastry), chick peas, lupine, clover, arum, mats, asses, cattle, girdles, cheese, confection, fish, Colocasia (radish), bananas, sycamore fig, lupine fruit, lotus fruit, marzipan, balsam oil, grapes, marble, stone, locust, olives, almonds (Cornu 10/11)", } , 	foods, materials, textiles, other
Misr	Maqaduniya	al-Jiza	towns	31.20101	30.00712	Cornu 10/11	Iron			low	materials	 { "lat": 30.00712, "lon": 31.20101, "name": "al-Jiza", "topType": "low", "product": "materials", "comment": "towns: Iron (Cornu 10/11)", } , 	materials
Misr	Al-Rif	al-Mahallat al-Kabira	towns	31.14305	30.97564	Cornu 10/11	Oil, wood			low	materials	 { "lat": 30.97564, "lon": 31.14305, "name": "al-Mahallat al-Kabira", "topType": "low", "product": "materials", "comment": "towns: Oil, wood (Cornu 10/11)", } , 	materials, other
Misr	Al-Hawf	al-Qulzum	towns	32.55613	30.02922	Cornu 10/11	Billy goats			low	foods	 { "lat": 30.02922, "lon": 32.55613, "name": "al-Qulzum", "topType": "low", "product": "foods", "comment": "towns: Billy goats (Cornu 10/11)", } , 	foods
Misr	Al-Jifar	al-Warrada	towns	34.083333	25.866667	Cornu 10/11	Dates			low	foods	 { "lat": 25.866667, "lon": 34.083333, "name": "al-Warrada", "topType": "low", "product": "foods", "comment": "towns: Dates (Cornu 10/11)", } , 	foods
Misr	Maqaduniya	Ayn Shams	towns	31.30864	30.13132	Cornu 10/11	Agricultural foods			low	foods	 { "lat": 30.13132, "lon": 31.30864, "name": "Ayn Shams", "topType": "low", "product": "foods", "comment": "towns: Agricultural foods (Cornu 10/11)", } , 	foods
Misr	Al-Sa'id	Bahnasa	towns	30.66489	28.60254	Cornu 10/11	Curtains, coverlets			low	textiles	 { "lat": 28.60254, "lon": 30.66489, "name": "Bahnasa", "topType": "low", "product": "textiles", "comment": "towns: Curtains, coverlets (Cornu 10/11)", } , 	textiles
Misr	Al-Hawf	Bilbays	capitals	31.56946	30.42151	Cornu 10/11	Mud, agricultural foods, leather, skins, leggings, cloth, camelshair, goat wool, reed pens, vitriol, marble, vinegar, canvas, linen, shoes, geese, plantains, wax, sugar candy, dyes, apparel, spun yarn, waterskins, harisa (meat dish), nayda (pastry), chick peas, lupine, clover, arum, mats, asses, cattle, girdles, cheese, confection, fish, Colocasia (radish), bananas, sycamore fig, lupine fruit, lotus fruit, marzipan, balsam oil			high	foods	 { "lat": 30.42151, "lon": 31.56946, "name": "Bilbays", "topType": "high", "product": "foods", "comment": "capitals: Mud, agricultural foods, leather, skins, leggings, cloth, camelshair, goat wool, reed pens, vitriol, marble, vinegar, canvas, linen, shoes, geese, plantains, wax, sugar candy, dyes, apparel, spun yarn, waterskins, harisa (meat dish), nayda (pastry), chick peas, lupine, clover, arum, mats, asses, cattle, girdles, cheese, confection, fish, Colocasia (radish), bananas, sycamore fig, lupine fruit, lotus fruit, marzipan, balsam oil (Cornu 10/11)", } , 	foods, materials, textiles, other
Misr	Al-Sa'id	Busir	towns	31.10717	29.27671	Cornu 10/11	Flax, cotton, shrimp			medium	foods	 { "lat": 29.27671, "lon": 31.10717, "name": "Busir", "topType": "medium", "product": "foods", "comment": "towns: Flax, cotton, shrimp (Cornu 10/11)", } , 	foods, textiles
Misr	Al-Rif	Damira	towns	31.35004	31.14114	Cornu 10/11	Melons			low	foods	 { "lat": 31.14114, "lon": 31.35004, "name": "Damira", "topType": "low", "product": "foods", "comment": "towns: Melons (Cornu 10/11)", } , 	foods
Misr	Al-Hawf	Dimyat (Damietta)	towns	31.79163	31.43948	Cornu 10/11	Fruits, wood, cloths, stone			medium	foods	 { "lat": 31.43948, "lon": 31.79163, "name": "Dimyat (Damietta)", "topType": "medium", "product": "foods", "comment": "towns: Fruits, wood, cloths, stone (Cornu 10/11)", } , 	foods, materials, textiles
Misr	Al-Sa'id	Hulwan	towns	31.29899	29.86002	Cornu 10/11	Stone			low	materials	 { "lat": 29.86002, "lon": 31.29899, "name": "Hulwan", "topType": "low", "product": "materials", "comment": "towns: Stone (Cornu 10/11)", } , 	materials
Misr	Al-Hawf	Mashtul	towns	31.3735	30.36675	Cornu 10/11	Flour, biscuits, grains			medium	foods	 { "lat": 30.36675, "lon": 31.3735, "name": "Mashtul", "topType": "medium", "product": "foods", "comment": "towns: Flour, biscuits, grains (Cornu 10/11)", } , 	foods
Misr	Al-Hawf	Shata	villages	31.87098	31.40769	Cornu 10/11	Cloth			low	textiles	 { "lat": 31.40769, "lon": 31.87098, "name": "Shata", "topType": "low", "product": "textiles", "comment": "villages: Cloth (Cornu 10/11)", } , 	textiles
Misr	Al-Sa'id	Taha	villages	30.69111	28.2737	Cornu 10/11	Cloth, wool			low	textiles	 { "lat": 28.2737, "lon": 30.69111, "name": "Taha", "topType": "low", "product": "textiles", "comment": "villages: Cloth, wool (Cornu 10/11)", } , 	textiles
Misr	Al-Hawf	Tinnis	towns	32.22632	31.21434	Cornu 10/11	Colored cloth, garments			low	textiles	 { "lat": 31.21434, "lon": 32.22632, "name": "Tinnis", "topType": "low", "product": "textiles", "comment": "towns: Colored cloth, garments (Cornu 10/11)", } , 	textiles
Misr	Al-Sa'id	Uswan	capitals	33.01102	24.11005	Cornu 10/11	Rice, wool, dates, vinegar, raisins, wine, palm wood			high	foods	 { "lat": 24.11005, "lon": 33.01102, "name": "Uswan", "topType": "high", "product": "foods", "comment": "capitals: Rice, wool, dates, vinegar, raisins, wine, palm wood (Cornu 10/11)", } , 	foods, materials
Maghrib		al-Mahdiyya	towns	10.92962	35.57479	Cornu 12	Stone, lime, grains			medium	foods	 { "lat": 35.57479, "lon": 10.92962, "name": "al-Mahdiyya", "topType": "medium", "product": "foods", "comment": "towns: Stone, lime, grains (Cornu 12)", } , 	foods, materials
Maghrib		al-Qayrawan (Kayrouan)	metropoles	10.06583	35.7646	Cornu 12	Olive oil, pistachios, saffron, almonds, plums, satchels, leather mats, waterskins, bread, meats, fruits, figs, raisins, dates, grapes, clay, brick, marble, lead, cloth, dye, spears			high	foods	 { "lat": 35.7646, "lon": 10.06583, "name": "al-Qayrawan (Kayrouan)", "topType": "high", "product": "foods", "comment": "metropoles: Olive oil, pistachios, saffron, almonds, plums, satchels, leather mats, waterskins, bread, meats, fruits, figs, raisins, dates, grapes, clay, brick, marble, lead, cloth, dye, spears (Cornu 12)", } , 	foods, materials, other, textiles
Maghrib		Asfaqus (Sfax)	towns	10.69597	34.83429	Cornu 12	Lime, stone			low	materials	 { "lat": 34.83429, "lon": 10.69597, "name": "Asfaqus (Sfax)", "topType": "low", "product": "materials", "comment": "towns: Lime, stone (Cornu 12)", } , 	materials
Maghrib		Banzard (Bizerta)	towns	9.70474	37.31745	Cornu 12	Stone			low	materials	 { "lat": 37.31745, "lon": 9.70474, "name": "Banzard (Bizerta)", "topType": "low", "product": "materials", "comment": "towns: Stone (Cornu 12)", } , 	materials
Maghrib		Buna (Bone)	towns	7.72936	36.88829	Cornu 12	Iron			low	materials	 { "lat": 36.88829, "lon": 7.72936, "name": "Buna (Bone)", "topType": "low", "product": "materials", "comment": "towns: Iron (Cornu 12)", } , 	materials
Maghrib		Fas	capitals	-5.02917	34.06361	Cornu 12	Dates, olive oil, pistachios, saffron, almonds, plums, satchels, leather mats, waterskins, clay, brick, agricultural foods, figs, olives			high	foods	 { "lat": 34.06361, "lon": -5.02917, "name": "Fas", "topType": "high", "product": "foods", "comment": "capitals: Dates, olive oil, pistachios, saffron, almonds, plums, satchels, leather mats, waterskins, clay, brick, agricultural foods, figs, olives (Cornu 12)", } , 	foods, materials
Maghrib		Manzil Bashu	towns	10.77562	36.83448	Cornu 12	Clay, agricultural foods			low	foods	 { "lat": 36.83448, "lon": 10.77562, "name": "Manzil Bashu", "topType": "low", "product": "foods", "comment": "towns: Clay, agricultural foods (Cornu 12)", } , 	foods, materials
Maghrib		Marsa al-Dajjaj	towns	3.58036	36.74092	Cornu 12	Brick			low	materials	 { "lat": 36.74092, "lon": 3.58036, "name": "Marsa al-Dajjaj", "topType": "low", "product": "materials", "comment": "towns: Brick (Cornu 12)", } , 	materials
Maghrib		Marsa al-Kharaz	towns	8.38782	36.87697	Cornu 12	Coral, wood, ropes			medium	materials	 { "lat": 36.87697, "lon": 8.38782, "name": "Marsa al-Kharaz", "topType": "medium", "product": "materials", "comment": "towns: Coral, wood, ropes (Cornu 12)", } , 	materials, other
Maghrib		Niqawus	towns	5.72567	35.56327	Cornu 12	Walnuts, fruits			low	foods	 { "lat": 35.56327, "lon": 5.72567, "name": "Niqawus", "topType": "low", "product": "foods", "comment": "towns: Walnuts, fruits (Cornu 12)", } , 	foods
Maghrib		Qabis (Gabes)	towns	10.06583	33.86395	Cornu 12	Palm wood, grapes, apples, stone, brick			high	foods	 { "lat": 33.86395, "lon": 10.06583, "name": "Qabis (Gabes)", "topType": "high", "product": "foods", "comment": "towns: Palm wood, grapes, apples, stone, brick (Cornu 12)", } , 	foods, materials
Maghrib		Sijilmasa	capitals	-4.23619	31.28082	Cornu 12	Dates, grapes, raisins, fruits, grains, pomegranates, agricultural foods, gold, silver			high	foods	 { "lat": 31.28082, "lon": -4.23619, "name": "Sijilmasa", "topType": "high", "product": "foods", "comment": "capitals: Dates, grapes, raisins, fruits, grains, pomegranates, agricultural foods, gold, silver (Cornu 12)", } , 	foods, other
Maghrib		Suq Hamza	towns	3.91313	36.36554	Cornu 12	Clay			low	materials	 { "lat": 36.36554, "lon": 3.91313, "name": "Suq Hamza", "topType": "low", "product": "materials", "comment": "towns: Clay (Cornu 12)", } , 	materials
Maghrib		Susa (Sousse)	towns	10.49773	35.88516	Cornu 12	Lime, stone			low	materials	 { "lat": 35.88516, "lon": 10.49773, "name": "Susa (Sousse)", "topType": "low", "product": "materials", "comment": "towns: Lime, stone (Cornu 12)", } , 	materials
Maghrib		Tahart	capitals	1.35718	35.36143	Cornu 12	Stone, lime, olive oil, pistachios, saffron, almonds, plums, satchels, leather mats, waterskins			high	foods	 { "lat": 35.36143, "lon": 1.35718, "name": "Tahart", "topType": "high", "product": "foods", "comment": "capitals: Stone, lime, olive oil, pistachios, saffron, almonds, plums, satchels, leather mats, waterskins (Cornu 12)", } , 	foods, materials, other
Sicily		Balarm (Palmero)	capitals	13.34397	38.11137	Cornu 15	Garments, ammonia, stone, mortar, grains, fruits, agricultural foods, grapes			high	foods	 { "lat": 38.11137, "lon": 13.34397, "name": "Balarm (Palmero)", "topType": "high", "product": "foods", "comment": "capitals: Garments, ammonia, stone, mortar, grains, fruits, agricultural foods, grapes (Cornu 15)", } , 	foods, materials, other, textiles
Sicily		Bartiniq (Portinico)	towns	13.11209	38.03334	Cornu 15	Stone			low	materials	 { "lat": 38.03334, "lon": 13.11209, "name": "Bartiniq (Portinico)", "topType": "low", "product": "materials", "comment": "towns: Stone (Cornu 15)", } , 	materials
Sicily		Lantini	towns	15.02375	37.29211	Cornu 15	Stone			low	materials	 { "lat": 37.29211, "lon": 15.02375, "name": "Lantini", "topType": "low", "product": "materials", "comment": "towns: Stone (Cornu 15)", } , 	materials
Sicily		Tabarmin (Taormina)	towns	15.27687	37.86445	Cornu 15	Stone			low	materials	 { "lat": 37.86445, "lon": 15.27687, "name": "Tabarmin (Taormina)", "topType": "low", "product": "materials", "comment": "towns: Stone (Cornu 15)", } , 	materials
al-Andalus		Arjuna	towns	-4.07157	37.92032	Cornu 14	Grains			low	foods	 { "lat": 37.92032, "lon": -4.07157, "name": "Arjuna", "topType": "low", "product": "foods", "comment": "towns: Grains (Cornu 14)", } , 	foods
al-Andalus		Bayghu (Priego)	towns	-4.22026	37.46371	Cornu 14	Flour, mulberry, olives, figs			medium	foods	 { "lat": 37.46371, "lon": -4.22026, "name": "Bayghu (Priego)", "topType": "medium", "product": "foods", "comment": "towns: Flour, mulberry, olives, figs (Cornu 14)", } , 	foods
al-Andalus		Gharnata (Granada)	towns	-3.60782	37.20757	Cornu 14	Fruits, agricultural foods			low	foods	 { "lat": 37.20757, "lon": -3.60782, "name": "Gharnata (Granada)", "topType": "low", "product": "foods", "comment": "towns: Fruits, agricultural foods (Cornu 14)", } , 	foods
al-Andalus		Hisn Bulkuna	towns	-4.23442	37.87842	Cornu 14	Olives, wood, stone			medium	foods	 { "lat": 37.87842, "lon": -4.23442, "name": "Hisn Bulkuna", "topType": "medium", "product": "foods", "comment": "towns: Olives, wood, stone (Cornu 14)", } , 	foods, materials
al-Andalus		Mantisha (Mentesa)	towns	-3.64322	39.82189	Cornu 14	Olives, figs			low	foods	 { "lat": 39.82189, "lon": -3.64322, "name": "Mantisha (Mentesa)", "topType": "low", "product": "foods", "comment": "towns: Olives, figs (Cornu 14)", } , 	foods
al-Andalus		Martush	towns	-4.00431	37.74697	Cornu 14	Wine			low	foods	 { "lat": 37.74697, "lon": -4.00431, "name": "Martush", "topType": "low", "product": "foods", "comment": "towns: Wine (Cornu 14)", } , 	foods
al-Andalus		Qastalla	towns	-3.89811	37.99289	Cornu 14	Wood, olives, wine			medium	foods	 { "lat": 37.99289, "lon": -3.89811, "name": "Qastalla", "topType": "medium", "product": "foods", "comment": "towns: Wood, olives, wine (Cornu 14)", } , 	foods, materials
al-Andalus		Qurtuba (Cordoba)	capitals	-4.79375	37.9259	Cornu 14	Henna			low	other	 { "lat": 37.9259, "lon": -4.79375, "name": "Qurtuba (Cordoba)", "topType": "low", "product": "other", "comment": "capitals: Henna (Cornu 14)", } , 	other
al-Andalus		Shawdhar	towns	-3.36709	37.87562	Cornu 14	Olives, clay			low	foods	 { "lat": 37.87562, "lon": -3.36709, "name": "Shawdhar", "topType": "low", "product": "foods", "comment": "towns: Olives, clay (Cornu 14)", } , 	foods, materials
Khuzistan		Al-Ahwaz	metropoles	48.69258	31.32964	Cornu 4/6/19	Breads, silks, clothes, grain			medium	foods	 { "lat": 31.32964, "lon": 48.69258, "name": "Al-Ahwaz", "topType": "medium", "product": "foods", "comment": "metropoles: Breads, silks, clothes, grain (Cornu 4/6/19)", } , 	foods, textiles
Khuzistan		Al-Askar	Capitals	48.89816	31.66739	Cornu 4/6/19	Fruits, confections, bread, silk veils, hemp, scarves, durable cloth			medium	foods	 { "lat": 31.66739, "lon": 48.89816, "name": "Al-Askar", "topType": "medium", "product": "foods", "comment": "Capitals: Fruits, confections, bread, silk veils, hemp, scarves, durable cloth (Cornu 4/6/19)", } , 	foods, textiles
Khuzistan		Al-Dawraq	capitals	48.92544	30.81201	Cornu 4/6/19	Agricultural foods, canvas			low	foods	 { "lat": 30.81201, "lon": 48.92544, "name": "Al-Dawraq", "topType": "low", "product": "foods", "comment": "capitals: Agricultural foods, canvas (Cornu 4/6/19)", } , 	foods, textiles
Khuzistan		Al-Lur	Towns	48.3311	32.55248	Cornu 4/6/19	Dates, sugar			low	foods	 { "lat": 32.55248, "lon": 48.3311, "name": "Al-Lur", "topType": "low", "product": "foods", "comment": "Towns: Dates, sugar (Cornu 4/6/19)", } , 	foods
Khuzistan		Al-Sus	Capitals	48.26043	32.20443	Cornu 4/6/19	Breads, confections, sugarcane, cloth, silk			medium	foods	 { "lat": 32.20443, "lon": 48.26043, "name": "Al-Sus", "topType": "medium", "product": "foods", "comment": "Capitals: Breads, confections, sugarcane, cloth, silk (Cornu 4/6/19)", } , 	foods, textiles
Khuzistan		Basinna	Towns	48.30343	31.99675	Cornu 4/6/19	Textiles, curtains			low	textiles	 { "lat": 31.99675, "lon": 48.30343, "name": "Basinna", "topType": "low", "product": "textiles", "comment": "Towns: Textiles, curtains (Cornu 4/6/19)", } , 	textiles
Khuzistan		Bayrut	Towns	47.9038	32.06335	Cornu 4/6/19	Dates			low	foods	 { "lat": 32.06335, "lon": 47.9038, "name": "Bayrut", "topType": "low", "product": "foods", "comment": "Towns: Dates (Cornu 4/6/19)", } , 	foods
Khuzistan		Idhaj	towns	49.87192	31.85642	Cornu 4/6/19	Melons, agricultural foods			low	foods	 { "lat": 31.85642, "lon": 49.87192, "name": "Idhaj", "topType": "low", "product": "foods", "comment": "towns: Melons, agricultural foods (Cornu 4/6/19)", } , 	foods
Khuzistan		Jundaysabur	Towns	48.54101	32.29988	Cornu 4/6/19	Sugar, dates, rice, pickles			low	foods	 { "lat": 32.29988, "lon": 48.54101, "name": "Jundaysabur", "topType": "low", "product": "foods", "comment": "Towns: Sugar, dates, rice, pickles (Cornu 4/6/19)", } , 	foods
Khuzistan		Kuzuk	towns	50.23939	31.47892	Cornu 4/6/19	Grapes, violet, basil			medium	foods	 { "lat": 31.47892, "lon": 50.23939, "name": "Kuzuk", "topType": "medium", "product": "foods", "comment": "towns: Grapes, violet, basil (Cornu 4/6/19)", } , 	foods
Khuzistan		Ramhurmuz	capitals	49.60146	31.28664	Cornu 4/6/19	Agricultural foods, cloth, perfume, mats, dates, fruits			high	foods	 { "lat": 31.28664, "lon": 49.60146, "name": "Ramhurmuz", "topType": "high", "product": "foods", "comment": "capitals: Agricultural foods, cloth, perfume, mats, dates, fruits (Cornu 4/6/19)", } , 	foods, other, textiles
Khuzistan		Tustar	Towns	48.85306	32.05234	Cornu 4/6/19	Fruit, wood, silk, cotton, citron, pomegranate, grapes, pears, melons			high	foods	 { "lat": 32.05234, "lon": 48.85306, "name": "Tustar", "topType": "high", "product": "foods", "comment": "Towns: Fruit, wood, silk, cotton, citron, pomegranate, grapes, pears, melons (Cornu 4/6/19)", } , 	foods, other, textiles
Fars		Al-Nawbandijan	towns	51.5494	30.12783	Cornu 4/6/19	Grapes, dates, orange, pomegranates			medium	foods	 { "lat": 30.12783, "lon": 51.5494, "name": "Al-Nawbandijan", "topType": "medium", "product": "foods", "comment": "towns: Grapes, dates, orange, pomegranates (Cornu 4/6/19)", } , 	foods
Fars		Al-Rudhan	Towns	56.02186	30.39947	Cornu 4/6/19	Shoes, textiles, dairy products			low	foods	 { "lat": 30.39947, "lon": 56.02186, "name": "Al-Rudhan", "topType": "low", "product": "foods", "comment": "Towns: Shoes, textiles, dairy products (Cornu 4/6/19)", } , 	foods, other, textiles
Fars		Arrajan	Capitals	50.29766	30.6103	Cornu 4/6/19	Dates, lemons, grapes, figs, olives, syrups, soaps, gains, stone, cloth, fish, 			high	foods	 { "lat": 30.6103, "lon": 50.29766, "name": "Arrajan", "topType": "high", "product": "foods", "comment": "Capitals: Dates, lemons, grapes, figs, olives, syrups, soaps, gains, stone, cloth, fish,  (Cornu 4/6/19)", } , 	foods, materials, other, textiles
